code,ring_type,area,date,year,month,quarter,nominal_price,strata_title,year_y,month ,year2,CPI_quarter2,real_price
150,Inner Ring,Ashfield,1991-03-01,1991,3,1991Q1,137.0,all dwelling,1991-06-01,6,1991,57.2,289.07
150,Inner Ring,Ashfield,1991-06-01,1991,6,1991Q2,141.0,all dwelling,1991-06-01,6,1991,57.2,297.51
150,Inner Ring,Ashfield,1991-09-01,1991,9,1991Q3,142.0,all dwelling,1991-06-01,6,1991,57.2,299.62
150,Inner Ring,Ashfield,1991-12-01,1991,12,1991Q4,145.0,all dwelling,1991-06-01,6,1991,57.2,305.95
150,Inner Ring,Ashfield,1992-03-01,1992,3,1992Q1,158.0,all dwelling,1992-06-01,6,1992,54.0,352.34
150,Inner Ring,Ashfield,1992-06-01,1992,6,1992Q2,158.0,all dwelling,1992-06-01,6,1992,54.0,352.34
150,Inner Ring,Ashfield,1992-09-01,1992,9,1992Q3,155.0,all dwelling,1992-06-01,6,1992,54.0,345.65
150,Inner Ring,Ashfield,1992-12-01,1992,12,1992Q4,146.0,all dwelling,1992-06-01,6,1992,54.0,325.58
150,Inner Ring,Ashfield,1993-03-01,1993,3,1993Q1,160.0,all dwelling,1993-06-01,6,1993,53.7,360.0
150,Inner Ring,Ashfield,1993-06-01,1993,6,1993Q2,159.0,all dwelling,1993-06-01,6,1993,53.7,357.75
150,Inner Ring,Ashfield,1993-09-01,1993,9,1993Q3,165.0,all dwelling,1993-06-01,6,1993,53.7,371.25
150,Inner Ring,Ashfield,1993-12-01,1993,12,1993Q4,175.0,all dwelling,1993-06-01,6,1993,53.7,393.75
150,Inner Ring,Ashfield,1994-03-01,1994,3,1994Q1,180.0,all dwelling,1994-06-01,6,1994,53.5,405.0
150,Inner Ring,Ashfield,1994-06-01,1994,6,1994Q2,180.0,all dwelling,1994-06-01,6,1994,53.5,405.0
150,Inner Ring,Ashfield,1994-09-01,1994,9,1994Q3,162.0,all dwelling,1994-06-01,6,1994,53.5,364.5
150,Inner Ring,Ashfield,1994-12-01,1994,12,1994Q4,177.0,all dwelling,1994-06-01,6,1994,53.5,398.25
150,Inner Ring,Ashfield,1995-03-01,1995,3,1995Q1,178.0,all dwelling,1995-06-01,6,1995,59.5,361.34
150,Inner Ring,Ashfield,1995-06-01,1995,6,1995Q2,160.0,all dwelling,1995-06-01,6,1995,59.5,324.79999999999995
150,Inner Ring,Ashfield,1995-09-01,1995,9,1995Q3,166.0,all dwelling,1995-06-01,6,1995,59.5,336.97999999999996
150,Inner Ring,Ashfield,1995-12-01,1995,12,1995Q4,203.0,all dwelling,1995-06-01,6,1995,59.5,412.09
150,Inner Ring,Ashfield,1996-03-01,1996,3,1996Q1,174.0,all dwelling,1996-06-01,6,1996,61.4,341.04
150,Inner Ring,Ashfield,1996-06-01,1996,6,1996Q2,188.0,all dwelling,1996-06-01,6,1996,61.4,368.48
150,Inner Ring,Ashfield,1996-09-01,1996,9,1996Q3,184.0,all dwelling,1996-06-01,6,1996,61.4,360.64
150,Inner Ring,Ashfield,1996-12-01,1996,12,1996Q4,180.0,all dwelling,1996-06-01,6,1996,61.4,352.8
150,Inner Ring,Ashfield,1997-03-01,1997,3,1997Q1,180.0,all dwelling,1997-06-01,6,1997,56.8,381.6
