code,ring_type,area,date,year,month,quarter,nominal_price,strata title,CPI_quarter2,real_price
150,Inner Ring,Ashfield,1991-03-01,1991,3,1991Q1,127.0,strata,57.2,267.96999999999997
150,Inner Ring,Ashfield,1991-06-01,1991,6,1991Q2,124.0,strata,57.2,261.64
150,Inner Ring,Ashfield,1991-09-01,1991,9,1991Q3,128.0,strata,57.2,270.08
150,Inner Ring,Ashfield,1991-12-01,1991,12,1991Q4,129.0,strata,57.2,272.19
150,Inner Ring,Ashfield,1992-03-01,1992,3,1992Q1,145.0,strata,54.0,323.35
150,Inner Ring,Ashfield,1992-06-01,1992,6,1992Q2,145.0,strata,54.0,323.35
150,Inner Ring,Ashfield,1992-09-01,1992,9,1992Q3,144.0,strata,54.0,321.12
150,Inner Ring,Ashfield,1992-12-01,1992,12,1992Q4,132.0,strata,54.0,294.36
150,Inner Ring,Ashfield,1993-03-01,1993,3,1993Q1,125.0,strata,53.7,281.25
150,Inner Ring,Ashfield,1993-06-01,1993,6,1993Q2,127.0,strata,53.7,285.75
150,Inner Ring,Ashfield,1993-09-01,1993,9,1993Q3,124.0,strata,53.7,279.0
150,Inner Ring,Ashfield,1993-12-01,1993,12,1993Q4,129.0,strata,53.7,290.25
150,Inner Ring,Ashfield,1994-03-01,1994,3,1994Q1,137.0,strata,53.5,308.25
150,Inner Ring,Ashfield,1994-06-01,1994,6,1994Q2,130.0,strata,53.5,292.5
150,Inner Ring,Ashfield,1994-09-01,1994,9,1994Q3,134.0,strata,53.5,301.5
150,Inner Ring,Ashfield,1994-12-01,1994,12,1994Q4,143.0,strata,53.5,321.75
150,Inner Ring,Ashfield,1995-03-01,1995,3,1995Q1,132.0,strata,59.5,267.96
150,Inner Ring,Ashfield,1995-06-01,1995,6,1995Q2,146.0,strata,59.5,296.38
150,Inner Ring,Ashfield,1995-09-01,1995,9,1995Q3,140.0,strata,59.5,284.2
150,Inner Ring,Ashfield,1995-12-01,1995,12,1995Q4,145.0,strata,59.5,294.34999999999997
150,Inner Ring,Ashfield,1996-03-01,1996,3,1996Q1,145.0,strata,61.4,284.2
150,Inner Ring,Ashfield,1996-06-01,1996,6,1996Q2,150.0,strata,61.4,294.0
150,Inner Ring,Ashfield,1996-09-01,1996,9,1996Q3,158.0,strata,61.4,309.68
150,Inner Ring,Ashfield,1996-12-01,1996,12,1996Q4,140.0,strata,61.4,274.4
150,Inner Ring,Ashfield,1997-03-01,1997,3,1997Q1,155.0,strata,56.8,328.6
150,Inner Ring,Ashfield,1997-06-01,1997,6,1997Q2,160.0,strata,56.8,339.20000000000005
150,Inner Ring,Ashfield,1997-09-01,1997,9,1997Q3,184.0,strata,56.8,390.08000000000004
